"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\adafruit_adafruit_mpm3610_pcb_adafruit_mpm3610\current_version\working\working.kicad_sch"
"Date:","15/09/2023 12:29:56"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","9"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C2","2","22uF","CAP_CERAMIC0805-NOOUTLINE","working:0805-NO","","",""
"FID1","1","FIDUCIAL_1MM","FIDUCIAL_1MM","working:FIDUCIAL_1MM","","",""
"IC1","1","MPM3610","MPM3610","working:MPM3610","","",""
"JP1","1","HEADER-1X4ROUND","HEADER-1X4ROUND","working:1X04_ROUND","","",""
"R1, R2","2","75K","RESISTOR_0603_NOOUT","working:0603-NO","","",""
"R3","1","24K","RESISTOR_0603_NOOUT","working:0603-NO","","",""
"U$9","1","MOUNTINGHOLE2.5","MOUNTINGHOLE2.5","working:MOUNTINGHOLE_2.5_PLATED","","",""
