"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\cosmikwolf_preenfm2_preenfm\current_version\working\working.kicad_sch"
"Date:","29/09/2023 19:40:44"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","53"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"3V1","1","LD1117","LD1117","","","",""
"5V1","1","7805","LD1117","","","",""
"AJ1, AJ2","2","AUDIO_JACK","AUDIO_JACK","","","",""
"C1, C2, C3, C5, C7, C8, C10, C14, C19, C23","10","100nF","C","","Condensateur non polarise","",""
"C4","1","PreenF405/CERB40","CERB40","","","",""
"C12","1","330nF","C","","Condensateur non polarise","",""
"C15, C16","2","1nF","C","","Condensateur non polarise","",""
"C17, C18","2","3.3nF","C","","Condensateur non polarise","",""
"DAC1, DAC2","2","MCP4922","MCP4922","","","",""
"IC1, IC2","2","74HC165N","74HC165N","74xx-eu-DIL16","","",""
"LCD1","1","Disp 20x4","DISPLAY_PC2004A-L","","Afficheur LCD 20X4 - PC2004A-L","",""
"OC1","1","6N137","6N138","optocoupler-DIL08","","",""
"op1","1","OpAmp","MC33202","","","",""
"R1, R2, R3, R6","4","220","R","","Resistance","",""
"R4, R5","2","10k","R","","Resistance","",""
"R7, R9","2","1.8k","R","","Resistance","",""
"R8, R10","2","115k","R","","Resistance","",""
"R11, R14, R15","3","68","R","","Resistance","",""
"R12, R13","2","8.2k","R","","Resistance","",""
"R16, R17","2","1M","R","","Resistance","",""
"R18","1","22","R","","Resistance","",""
"R19","1","Oled","R","","Resistance","",""
"S1, S2, S3, S4, S5, S6, S7","7","SWITCH","SWITCH","","","",""
