Qty,Reference(s),Value,LibPart,Footprint,memo,url
1,J1,Conn_01x02,Connector_Generic:Conn_01x02,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",phonix black terminal block. I will send if it’s difficult to gather them.,https://akizukidenshi.com/catalog/g/gP-08367/
1,J2,Conn_02x02_Counter_Clockwise,Connector_Generic:Conn_02x02_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical_SMD,,
