"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\adafruit_adafruit_proto_shield_pcb_adafruit_proto_shield\current_version\working\working.kicad_sch"
"Date:","16/09/2023 03:13:36"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","58"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C2","2","C-US025-025X050","C-US025-025X050","working:C025-025X050","","",""
"GNDSTRIP1, GNDSTRIP2","2","12-STRIP","12-STRIP","working:12-STRIP","","",""
"IC1","1","SMD-14","SMD-14","working:SO-14NMW","","",""
"JP1, JP4","2","PINHD-1X8BIG","PINHD-1X8BIG","working:1X08-BIG","","",""
"JP9","1","PINHD-1X6B","PINHD-1X6B","working:1X06-BIG","","",""
"LED1, LED2","2","LED3MM","LED3MM","working:LED3MM","","",""
"M1","1","ARDUINO_R3_ICSP","ARDUINO_R3_ICSP","working:ARDUINOR3_ICSP","","",""
"R1, R2","2","R-US_0207/5V","R-US_0207/5V","working:0207_5V","","",""
"RESET0","1","Reset","10-XX","working:B3F-10XX","","",""
"S1","1","Reset","10-XX","working:B3F-10XX","","",""
"U$1","1","PINHD-1X10","PINHD-1X10","working:1X10-BIG","","",""
"U$2, U$4, U$6, U$7, U$8, U$9, U$16, U$19, U$25, U$27, U$34, U$35, U$37, U$38, U$39, U$40, U$41","17","PERFHOLE","PERFHOLE","working:PERFHOLE","","",""
"U$3, U$24, U$43","3","5-STRIP","5-STRIP","working:5-STRIP","","",""
"U$5, U$10, U$11, U$12, U$13, U$14, U$15, U$17, U$18, U$20, U$21, U$22, U$23, U$26, U$28, U$29, U$30, U$31, U$32, U$33","20","3-STRIP","3-STRIP","working:3-STRIP","","",""
"VCCSTRIP1, VCCSTRIP2","2","12-STRIP","12-STRIP","working:12-STRIP","","",""
