Qty,Reference(s),Value,LibPart,Footprint,url,memo
2,"J1, J3",Grove-I2C-connector,asukiaaa-kicad-symbols:Grove-I2C-connector,Connector:NS-Tech_Grove_1x04_P2mm_Vertical,https://www.seeedstudio.com/Grove-Universal-4-pin-connector.html,
1,J2,mini-bread-board-1x17x2,asukiaaa-kicad-symbols:mini-bread-board-1x17x2,asukiaaa-kicad-footprints:mini-bread-board-1x17x2,,1x17 white pin header x2
1,U1,ESP32-DEVKITC-32D,asukiaaa-kicad-symbols:ESP32-DEVKITC-32D,asukiaaa-kicad-footprints:ESP32-DEVKITC-32D,,1x19 white pin header x2
