"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\adafruit_adafruit_qspi_dip_breakout_pcb_adafruit_qspi_dip_breakout\current_version\working\working.kicad_sch"
"Date:","16/09/2023 04:50:27"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","4"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"FID1","1","FIDUCIAL_1MM","FIDUCIAL_1MM","working:FIDUCIAL_1MM","","",""
"JP2, JP3","2","HEADER-1X476MIL","HEADER-1X476MIL","working:1X04_ROUND_76","","",""
"U1","1","GENERIC QSPI","SPIFLASH_8PIN208MIL","working:SOIC8_208MIL","","",""
