Refs,Value,Footprint,Quantity,MFR,MPN,SPR,SPN
D1,VSMY3940X01-GS08,Aaron:LED_PLCC-2,1,Vishay Semiconductor Opto Division,VSMY3940X01-GS08,Digikey,VSMY3940X01-GS08CT-ND
U2,ADUX1020,Aaron:LFCSP-8-1EP_3x2mm_P0.5mm_EP1.6x1.65mm,1,Analog Devices Inc.,ADUX1020BCPZRL7,Digikey,ADUX1020BCPZRL7CT-ND
C2;C4;C3;C1,1uF,Capacitor_SMD:C_0603_1608Metric,4,KEMET,C0603C105K4RACAUTO,Digikey,399-17704-1-ND
J1;J2,Conn_01x05,Connector_PinHeader_1.27mm:PinHeader_1x05_P1.27mm_Vertical,2,-,-,-,-
JP1;JP2;JP3,SolderJumper_2_Bridged,Jumper:SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,3,-,-,-,-
U1,TLV71318PDBV,Package_TO_SOT_SMD:SOT-23-5,1,Texas Instruments,TLV71318PDBVR,Digikey,296-41834-1-ND
RN1,10K,Resistor_SMD:R_Array_Convex_4x0603,1,Bourns Inc.,CAY16-1002F4LF,Digikey,CAY16-1002F4LFCT-ND
