Ref,Qnty,Value,Footprint,Description,url
"C1, ",1,0.1uf,Capacitor_SMD:C_0402_1005Metric,0402inch 0.1uf equal or more than 6V,
"J1, ",1,Conn_01x08,my-kicad-footprints:PinHeader_1x08_P2.54mm_Vertical_witout_silk,1x8 2.54mm L pin header,
"R1, ",1,220,Resistor_SMD:R_0402_1005Metric,0402inch 220ohm resistor,
"U1, ",1,SP3485CN,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,"3.3V Low Power Half-Duplex RS-485 Transceiver 10Mbps, SOIC-8",https://www.lcsc.com/product-detail/Buffers-Drivers_MaxLinear-SP3485CN-L-TR_C2692302.html?utm_source=findChips&utm_medium=buyNow
