Part/Designator,Manufacture Part Number/Seeed SKU,Quantity
U1,PIC16F1459-I/SO,1
C1,CC0603KRX7R8BB105,1
C2,CC0603KRX7R9BB104,1
C3,TAJB226*016#NJ,1
R1,RC0603FR-0710KL,1
"R2,R3",RC0603JR-07200RL,2
D1,17-215SYGC/S530-E2/TR8,1
D2,17-215UYC/S530-A3/TR8,1
"SW1,SW2",B3U-1000P-2P-SMD,2
