Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,,C,C2,0.1uF,C_0805_2012Metric,1,~
2,"Unpolarized capacitor, small symbol",C_Small,C7,10uF,C_0805_2012Metric,1,~
3,,C,C1,1uF,C_0805_2012Metric,1,~
4,,CP,C6,220uF,CP_Elec_6.3x7.7,1,~
5,,C,C3 C5,22uF,C_1206_3216Metric,2,~
6,,DIODESCH,D1,B220A,D_SMA,1,~
7,"Diode, small symbol",D_Small,D2,RB060T,D_SOD-123,1,~
8,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x03,J1,Conn_01x03,JST-SR-3,1,~
9,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x02,J2,SOLENOID,PinHeader_1x02_P2.54mm_Vertical,1,~
10,,INDUCTOR_SMALL,L1,22uH,L_12x12mm_H6mm,1,~
11,"N-MOSFET transistor, gate/source/drain",Q_NMOS_GSD,Q1,AO3400,SOT-23,1,~
12,"Resistor, small symbol",R_Small,R7,100,R_0805_2012Metric,1,~
13,,R,R2 R4,100K,R_0805_2012Metric,2,~
14,"Resistor, small symbol",R_Small,R3,100K,R_0805_2012Metric,1,~
15,,R,R5,16K,R_0805_2012Metric,1,~
16,"Resistor, small symbol",R_Small,R6,270k,R_0805_2012Metric,1,~
17,,R,R1,470,R_0805_2012Metric,1,~
18,,MIC2009A,U1,MIC2009A-1,SOT-23-6,1,~
19,,MIC2250,U3,MIC2250-2,SOT-23-5,1,





Component Groups:,19
Component Count:,21
Fitted Components:,21
Number of PCBs:,1
Total components:,21
Schematic Version:,
Schematic Date:,11 aug 2014
BoM Date:,4/3/2020 12:08:23 PM
Schematic Source:,C:\Users\Ryota Goto\Documents\GitHub\9V-solenoid-controller\schem\solenoid-driver.sch
KiCad Version:,Eeschema (5.1.4)-1
